13RENTAL-028,I3,DESKTOP,WIN 7 PRO,2013-04-03,FORTRESS ATX,DESKTOP CASING,FORTRESS 700W PSU, POWER SUPPLY,INTEL CORE I3 2120 3.30 GHZ,PROCESSOR,ASUS P8H61-MLX3 PLUS M/B,MOTHERBOARD,WESTERN DIGITAL 500GB HDD SATA,HDD,KINGSTON 4GB PC1333 DDR3 MEMORY,MEMORY,,,LITEON DRIVE,DVDRW SATA,,
13RENTAL-029,I3,DESKTOP,,2013-04-03,FORTRESS ATX,DESKTOP CASING,FORTRESS 700W PSU, POWER SUPPLY,INTEL CORE I3 2120 3.30 GHZ,PROCESSOR,ASUS P8H61-MLX3 PLUS M/B,MOTHERBOARD,WESTERN DIGITAL 500GB HDD SATA,HDD,KINGSTON 4GB PC1333 DDR3 MEMORY,MEMORY,,,LITEON DRIVE,DVDRW SATA,,
13RENTAL-030,I3,DESKTOP,,2013-04-03,ORION ATX,DESKTOP CASING,ORION 600W PSU, POWER SUPPLY,INTEL CORE I3 2120 3.30 GHZ,PROCESSOR,ASUS P8H61-MLX3 PLUS M/B,MOTHERBOARD,WESTERN DIGITAL 500GB HDD SATA,HDD,SEITEC 4GB PC1333 DDR3 MEMORY,MEMORY,SEITEC 4GB PC1333 DDR3 MEMORY,MEMORY,LITEON DRIVE,DVDRW SATA,,
13RENTAL-031,I3,DESKTOP,,2013-04-03,FORTRESS ATX,DESKTOP CASING,FORTRESS 700W PSU, POWER SUPPLY,INTEL CORE I3 2120 3.30 GHZ,PROCESSOR,ASUS P8H61-MLX3 PLUS M/B,MOTHERBOARD,WESTERN DIGITAL 500GB HDD SATA,HDD,KINGSTON 4GB PC1333 DDR3 MEMORY,MEMORY,KINGSTON 4GB PC1333 DDR3 MEMORY,MEMORY,LITEON DRIVE,DVDRW SATA,,
13RENTAL-032,I3,DESKTOP,WIN 7 PRO,2013-04-03,FORTRESS ATX,DESKTOP CASING,FORTRESS 700W PSU, POWER SUPPLY,INTEL CORE I3 2120 3.30 GHZ,PROCESSOR,ASUS P8H61-MLX3 PLUS M/B,MOTHERBOARD,WESTERN DIGITAL 500GB HDD SATA,HDD,KINGSTON 4GB PC1333 DDR3 MEMORY,MEMORY,KINGSTON 4GB PC1333 DDR3 MEMORY,MEMORY,LITEON DRIVE,DVDRW SATA,,
13RENTAL-033,I3,DESKTOP,,2013-04-03,ORION ATX,DESKTOP CASING,ORION 600W PSU, POWER SUPPLY,INTEL CORE I3 2120 3.30 GHZ,PROCESSOR,ASUS P8H61-MLX3 PLUS M/B,MOTHERBOARD,WESTERN DIGITAL 500GB HDD SATA,HDD,KINGSTON 4GB PC1333 DDR3 MEMORY,MEMORY,KINGSTON 4GB PC1333 DDR3 MEMORY,MEMORY,LITEON DRIVE,DVDRW SATA,,
13RENTAL-034,I3,DESKTOP,,2013-04-03,FORTRESS ATX,DESKTOP CASING,FORTRESS 700W PSU, POWER SUPPLY,INTEL CORE I3 2120 3.30 GHZ,PROCESSOR,ASUS P8H61-MLX3 PLUS M/B,MOTHERBOARD,WESTERN DIGITAL 500GB HDD SATA,HDD,KINGSTON 4GB PC1333 DDR3 MEMORY,MEMORY,KINGSTON 4GB PC1333 DDR3 MEMORY,MEMORY,LITEON DRIVE,DVDRW SATA,,
13RENTAL-035,I3,DESKTOP,WIN 7 PRO,2013-04-03,FORTRESS ATX,DESKTOP CASING,FORTRESS 700W PSU, POWER SUPPLY,INTEL CORE I3 2120 3.30 GHZ,PROCESSOR,ASUS P8H61-MLX3 PLUS M/B,MOTHERBOARD,WESTERN DIGITAL 500GB HDD SATA,HDD,KINGSTON 4GB PC1333 DDR3 MEMORY,MEMORY,KINGSTON 4GB PC1333 DDR3 MEMORY,MEMORY,LITEON DRIVE,DVDRW SATA,,
13RENTAL-036,I3,DESKTOP,,2013-04-03,FORTRESS ATX,DESKTOP CASING,FORTRESS 700W PSU, POWER SUPPLY,INTEL CORE I3 2120 3.30 GHZ,PROCESSOR,ASUS P8H61-MLX3 PLUS M/B,MOTHERBOARD,WESTERN DIGITAL 500GB HDD SATA,HDD,KINGSTON 4GB PC1333 DDR3 MEMORY,MEMORY,KINGSTON 4GB PC1333 DDR3 MEMORY,MEMORY,LITEON DRIVE,DVDRW SATA,,
13RENTAL-037,I3,DESKTOP,,2013-04-03,ORION ATX,DESKTOP CASING,ORION 600W PSU, POWER SUPPLY,INTEL CORE I3 2120 3.30 GHZ,PROCESSOR,ASUS P8H61-MLX3 PLUS M/B,MOTHERBOARD,WESTERN DIGITAL 500GB HDD SATA,HDD,KINGSTON 4GB PC1333 DDR3 MEMORY,MEMORY,KINGSTON 4GB PC1333 DDR3 MEMORY,MEMORY,LITEON DRIVE,DVDRW SATA,,
13RENTAL-038,I3,DESKTOP,,2013-04-03,ORION ATX,DESKTOP CASING,ORION 600W PSU, POWER SUPPLY,INTEL CORE I3 2120 3.30 GHZ,PROCESSOR,ASUS P8H61-MLX3 PLUS M/B,MOTHERBOARD,WESTERN DIGITAL 500GB HDD SATA,HDD,KINGSTON 4GB PC1333 DDR3 MEMORY,MEMORY,KINGSTON 4GB PC1333 DDR3 MEMORY,MEMORY,LITEON DRIVE,DVDRW SATA,,
13RENTAL-039,I3,DESKTOP,,2013-04-03,FORTRESS ATX,DESKTOP CASING,FORTRESS 700W PSU, POWER SUPPLY,INTEL CORE I3 2120 3.30 GHZ,PROCESSOR,ASUS P8H61-MLX3 PLUS M/B,MOTHERBOARD,WESTERN DIGITAL 500GB HDD SATA,HDD,KINGSTON 4GB PC1333 DDR3 MEMORY,MEMORY,KINGSTON 4GB PC1333 DDR3 MEMORY,MEMORY,LITEON DRIVE,DVDRW SATA,,
13RENTAL-040,I3,DESKTOP,,2013-04-03,FORTRESS ATX,DESKTOP CASING,FORTRESS 700W PSU, POWER SUPPLY,INTEL CORE I3 2120 3.30 GHZ,PROCESSOR,ASUS P8H61-MLX3 PLUS M/B,MOTHERBOARD,WESTERN DIGITAL 500GB HDD SATA,HDD,SEITEC 4GB PC1333 DDR3 MEMORY,MEMORY,SEITEC 4GB PC1333 DDR3 MEMORY,MEMORY,LITEON DRIVE,DVDRW SATA,,
